,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,spins,spins,spins,spins,spins,spins,spins,spins,spins,spins,spins,spins,
WDVR,Sergeantsville,NJ,received,in for review,reviewing,Added,Light,Light,Light,Light,Light,Light,,,
WECS,Willimantic,CT,received,received,in for review,reviewing,Added,Light,Light,Light,Light,Light,,,
WEDB,Swainsboro,GA,mailed,received,reviewing,reviewing,Added,Library,Library,Library,Library,Library,,,Added to music library; available for play
WEFT,Champaign,IL,in for review,reviewing,reviewing,Added,Library,Library,Library,Library,Library,Library,,,Added to music library; available for play
WERB,Berlin,CT,mailed,received,received,in for review,reviewing,Added,Light,Light,Light,Light,,,
WERS,Boston,MA,received,in for review,reviewing,Added,Light,Light,Light,Light,Medium,Medium,,,Medium Rotation: 3-5 spins per week 
WERU ,East Orland,ME,received,received,in for review,reviewing,Added,Light,Light,Light,Light,Light,,,Light Rotation: 1-3 spinsn per week 
WEVL,Memphis,TN,mailed,mailed,received,received,in for review,reviewing,Added,Light,Light,Light,,,
WEVR AM,River Falls,WI,reviewing,Added,6,6,8,8,10,10,12,12,,,
WEVR-FM,River Falls,WI,reviewing,Added,6,6,8,8,10,10,12,12,,,
WIDE,Troy,NY,mailed,received,Added,25,28,28,28,30,32,32,,,
WJER AM,Dover,OH,mailed,mailed,received,received,received,received,received,received,received,received,,,
WJER FM,New Philadelphia,OH,mailed,mailed,received,received,received,received,received,received,received,received,,,
WKDU,Philadelphia,PA,mailed,mailed,received,in for review,reviewing,Added,Light,Light,Light,Light,,,
WKIB,Cape Girardeau,MO,received,in for review,reviewing,Added,7,7,7,8,8,8,,,
WKNC,Raleigh,NC,received,received,in for review,reviewing,reviewing,reviewing,reviewing,passed,n/a,n/a,,,not what we're looking for at this time
WKNY ,Kingston,NY,in for review,reviewing,Added,6,6,8,8,10,12,14,,,Light Rotation: 1-3 spins per week 
WKYA,Greeenville,KY,mailed,received,received,received,received,received,received,received,received,received,,,
WLIF,Baltimore,MD,n/a,n/a,n/a,n/a,n/a,n/a,n/a,mailed,received,in for review,,,submitted to upon request
WMNF,Tampa,FL,mailed,received,in for review,reviewing,Added,Light,Light,Light,Light,Medium,,,Medium Rotation: 3-5 spins per week 
WMOA,Marietta,OH,in for review,reviewing,Added,5,10,10,20,15,30,30,,,
WMPG,Portland,ME,mailed,received,in for review,reviewing,Added,Light,Light,Light,Light,Light,,,
WMQT,Marquette,MI,mailed,mailed,received,received,received,received,received,received,received,received,,,
WMSE,Milwaukee,WI,reviewing,Added,Light,Light,Light,Medium,Medium,Medium,Medium,Medium,,,Medium Rotation: 3-5 spins per week 
WMUL,Huntington,WV,received,in for review,reviewing,Added,Light,Light,Light,Light,Light,Light,,,
WNCW,Spindale,NC,mailed,received,received,in for review,reviewing,Added,Light,Light,Light,Light,,,
WNHU,West Haven,CT,mailed,mailed,received,received,in for review,reviewing,Added,Light,Light,Light,,,
WORG,Cope,SC,Added,5,5,5,5,5,5,15,25,35,,,
WQXQ,Central City,KY,received,received,received,in for review,in for review,in for review,in for review,in for review,in for review,in for review,,,
WRAL,Raleigh,NC,n/a,mailed,mailed,received,received,in for review,in for review,reviewing,Added,Library,,,Added to music library; approved for airplay
WRAS,Atlanta,GA,received,received,in for review,reviewing,Added,Light,Light,Light,Light,Light,,,
WRCT,Pittsburgh,PA,mailed,mailed,received,received,in for review,reviewing,Added,Light,Light,Light,,,
WREZ,Metropolis,IL,reviewing,Added,7,7,7,8,8,8,8,9,,,
WRFL ,Lexington,KY,mailed,mailed,received,received,in for review,reviewing,Added,Light,Light,Light,,,
WRGP,Miami,FL,received,received,in for review,reviewing,Added,Light,Light,Light,Light,Light,,,
WRIU,Kingston ,RI,mailed,received,in for review,reviewing,Added,Light,Light,Light,Light,Light,,,
WSBF,Clemson,SC,received,in for review,reviewing,Added,Light,Light,Light,Light,Light,Light,,,Light Rotation: 1-3 spins per week 
WSHC,Shepherdstown,WV,mailed,mailed,received,received,in for review,reviewing,Added,Library,Library,Library,,,Added to music library; available for play
WSLC,Roanoke,VA,received,in for review,reviewing,Added,Light,Light,Light,Light,Light,Light,,,Light Rotation: 1-3 spins per week 
WSOE,Elon,NC,received,in for review,reviewing,reviewing,Added,Library,Library,Library,Library,Library,,,Added to music library; available for play
WTUL,New Orleans,LA,mailed,received,in for review,reviewing,Added,Light,Light,Light,Light,Light,,,
WUAG,Greensboro,NC,received,in for review,reviewing,reviewing,Added,Library,Library,Library,Library,Library,,,Added to music library; available for play
WUOG,Athens ,GA,received,received,in for review,reviewing,reviewing,Added,Light,Light,Light,Light,,,
WUPX,Marquette,MI,received,received,reviewing,Added,Light,Light,Light,Light,Light,Light,,,
WUSC,Columbia,SC,received,in for review,reviewing,Added,Light,Light,Light,Light,Medium,Medium,,,Medium Rotation: 3-5 spins per week 
WUSM,Hattiesburg,MS,mailed,received,received,in for review,reviewing,Added,Light,Light,Light,Light,,,
WUTK,Knoxville,TN,mailed,mailed,received,received,in for review,reviewing,Added,Light,Light,Light,,,
WVFS,Tallahassee ,FL,in for review,reviewing,Added,Light,Light,Light,Light,Medium,Medium,Medium,,,Medium Rotation: 3-5 spins per week
WVMP,Roanoke,VA,received,in for review,reviewing,Added,Light,Light,Light,Light,Light,Light,,,
WVUA,Tuscaloosa,AL,mailed,received,in for review,reviewing,Added,Light,Light,Light,Light,Light,,,
WVVS,Valdosta,GA,mailed,mailed,received,received,in for review,reviewing,Added,Light,Light,Light,,,
WWMX,Baltimore,MD,n/a,n/a,n/a,n/a,n/a,n/a,n/a,mailed,received,received,,,submitted to upon request
WXDU,Durham,NC,mailed,received,received,in for review,reviewing,Added,Light,Light,Light,Light,,,
WXYC,Chapel Hill,NC,mailed,received,received,in for review,reviewing,reviewing,Added,Light,Light,Light,,,
WYUL,Malone ,NY,Added,5,5,5,10,10,15,15,20,20,,,
WZFT,Baltimore,MD,n/a,n/a,n/a,n/a,n/a,n/a,n/a,mailed,received,in for review,,,submitted to upon requesst
WZMB,Greenville,NC,mailed,mailed,received,received,in for review,reviewing,reviewing,Added,Light,Light,,,
